Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-27,387.503524387147,402.188865775902,387.503524387147,395.3199157714844,8231,0.0,0.0
2007-04-30,389.6353145668782,397.8306777106065,388.5457626310565,397.26220703125,1791,0.0,0.0
2007-05-03,397.9253965865734,409.29469363190407,397.9253965865734,407.3998107910156,4468,0.0,0.0
2007-05-04,331.50974723070993,412.1370178932368,331.50974723070993,407.3998107910156,786,0.0,0.0
2007-05-07,407.3997846242458,427.2960531756625,407.3997846242458,424.7853393554688,6522,0.0,0.0
2007-05-08,419.9533831997904,440.56023279842645,419.9533831997904,436.62835693359375,12248,0.0,0.0
2007-05-09,473.7206710533808,473.7206710533808,439.61278273753743,445.8185119628906,33440,0.0,0.0
2007-05-10,442.5024757312596,448.89770491283065,428.71721550531936,430.7068481445313,5286,0.0,0.0
2007-05-11,426.4433585847063,437.71790489783655,423.36417418878,431.0858154296875,1934,0.0,0.0
2007-05-14,477.5104589012727,477.5104589012727,420.1902550053858,422.416748046875,1816,0.0,0.0
2007-05-15,415.92677589912194,416.8742173020812,398.1622495936355,399.67816162109375,7796,0.0,0.0
2007-05-16,402.7099772273031,409.2947068779395,396.0778870695586,405.4575805664063,11007,0.0,0.0
2007-05-17,405.4575461465999,413.9845184826914,397.9253756842726,399.0623168945313,3071,0.0,0.0
2007-05-18,400.8150662822932,428.24350593825415,397.9253816240415,416.9215698242188,5259,0.0,0.0
2007-05-21,409.5788677931401,417.72686886266337,403.3257782620684,408.4419555664063,1463,0.0,0.0
2007-05-22,401.715140091613,408.3472296685972,400.7676987234725,402.8520812988281,803,0.0,0.0
2007-05-23,398.9675503410877,405.78911057738856,394.18295427047815,396.314697265625,3529,0.0,0.0
2007-05-24,405.4101697852278,405.4101697852278,388.4509744867025,394.1829833984375,1546,0.0,0.0
2007-05-25,397.925406348215,397.925406348215,386.5561090239803,393.1408386230469,9789,0.0,0.0
2007-05-28,416.7321277505949,416.7321277505949,380.018771546764,385.5613098144531,6386,0.0,0.0
2007-05-29,392.1459862492823,400.5308483487084,388.4509706043062,397.9253845214844,5171,0.0,0.0
2007-05-30,402.6626146182448,414.7898535636528,395.2251934831606,409.6736755371094,9419,0.0,0.0
2007-05-31,411.2843110629961,435.68092672981714,405.50491283104526,422.8430786132813,86012,0.0,0.0
2007-06-01,426.3486086667239,437.71790489783655,412.42120921816473,431.0858154296875,43145,0.0,0.0
2007-06-04,464.1988999060474,464.1988999060474,426.44335641463374,437.8126525878906,20482,0.0,0.0
2007-06-05,437.7179166666119,449.08721320340703,430.75421675510165,440.1338806152344,29702,0.0,0.0
2007-06-06,443.4026077352901,445.202740744654,418.769129527774,422.9378662109375,7142,0.0,0.0
2007-06-07,421.61141123820994,434.8755904681761,409.3894233018929,429.5225524902344,9851,0.0,0.0
2007-06-08,423.50628549812745,423.50628549812745,413.6055117773,422.2272338867188,4813,0.0,0.0
2007-06-11,421.6114084596209,444.3500012754207,420.66396709229593,437.5284118652344,12718,0.0,0.0
2007-06-12,426.3959668867198,426.3959668867198,411.94748633701306,416.2583618164063,1722,0.0,0.0
2007-06-13,409.5788806762329,426.064383161752,409.4841596729031,417.9163818359375,2985,0.0,0.0
2007-06-14,425.0696385564852,441.5077549583675,418.76915813647736,440.2760925292969,25635,0.0,0.0
2007-06-15,445.2026964617188,452.8769773842165,430.1857448807951,448.1397705078125,61085,0.0,0.0
