,symbol,min_date,max_date,missing_dates_per,latest_closing_price,growth_per_30,avg_vol_30,growth_per_7,avg_vol_7,latest_signal,latest_trend,signal_start_date,signal_duration,trend_start_date,trend_duration
555,EDUCOMP,2006-01-13,2024-10-18,5.84,2.15,-8.51,9599,-4.02,5536,Sell,-1,2024-09-27 00:00:00,21,2024-09-20 00:00:00,28
556,EGOLD,2023-11-10,2024-10-18,7.38,78.55,5.15,83941,2.29,67744,Sell,1,2024-07-19 00:00:00,91,2024-10-15 00:00:00,3
557,EICHERMOT,1996-01-01,2024-10-18,3.93,4765.65,-3.16,694232,-0.58,582861,Sell,1,2024-10-01 00:00:00,17,2024-10-17 00:00:00,1
558,EIDPARRY,2002-07-01,2024-10-18,5.07,802.25,-2.3,438740,-1.73,228938,Sell,-1,2024-10-04 00:00:00,14,2024-10-15 00:00:00,3
559,EIFFL,2017-03-31,2024-10-18,5.74,202.63,0.61,59448,-5.08,19280,Buy,1,2024-09-17 00:00:00,31,2024-10-17 00:00:00,1
560,EIHAHOTELS,2008-04-08,2024-10-18,5.92,382.7,-3.63,57030,-4.05,32151,Sell,-1,2024-08-09 00:00:00,70,2024-10-10 00:00:00,8
561,EIHOTEL,1996-01-01,2024-10-18,3.89,398.75,6.95,853092,-6.49,654616,Buy,-1,2024-10-09 00:00:00,9,2024-10-10 00:00:00,8
562,EIMCOELECO,2002-07-01,2024-10-18,5.13,2918.25,2.81,7086,-3.42,18113,Sell,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
563,EKC,2005-12-15,2024-10-18,5.83,198.13,-6.05,1282884,-4.78,939132,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
564,ELDEHSG,2022-04-12,2024-10-18,5.8,863.3,-7.48,1465,-1.29,1023,Buy,-1,2024-04-08 00:00:00,193,2024-10-16 00:00:00,2
565,ELECON,2006-09-29,2024-10-18,5.87,626.4,6.52,952384,-3.78,1091431,Sell,-1,2024-10-17 00:00:00,1,2024-10-16 00:00:00,2
566,ELECTCAST,2002-07-01,2024-10-18,5.12,190.86,-11.71,1450745,-4.21,1164761,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
567,ELECTHERM,2007-08-20,2024-10-18,5.89,990.4,-4.46,6346,3.05,7346,Buy,1,2024-06-06 00:00:00,134,2024-10-17 00:00:00,1
568,ELGIEQUIP,2002-07-01,2024-10-18,5.13,658.65,-10.33,254676,-1.42,124148,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
569,ELGIRUBCO,2008-01-01,2024-10-18,5.92,105.02,2.29,32021,7.05,30928,Sell,-1,2024-09-25 00:00:00,23,2024-10-17 00:00:00,1
570,ELIN,2022-12-30,2024-10-18,6.05,219.32,-12.71,306505,-5.66,183702,Buy,-1,2024-06-13 00:00:00,127,2024-10-16 00:00:00,2
571,EMAMILTD,2006-08-03,2024-10-18,5.86,700.85,-5.22,600745,-4.46,584179,Sell,-1,2024-08-02 00:00:00,77,2024-10-15 00:00:00,3
572,EMAMIPAP,2019-05-31,2024-10-18,7.31,112.47,-11.96,56495,-2.04,36430,Sell,-1,2024-09-27 00:00:00,21,2024-10-17 00:00:00,1
573,EMAMIREAL,2002-08-12,2024-10-18,5.16,113.78,2.86,66588,-1.69,51552,Buy,-1,2024-08-16 00:00:00,63,2024-10-14 00:00:00,4
574,EMBDL,2024-06-27,2024-10-18,4.26,132.42,3.17,6087958,3.4,7247498,Buy,1,2024-10-10 00:00:00,8,2024-10-17 00:00:00,1
575,EMCO,2002-08-12,2023-04-26,5.05,1.95,0.0,0,0.0,0,Sell,1,2021-07-13 00:00:00,652,2021-10-22 00:00:00,551
576,EMCURE,2024-07-10,2024-10-18,4.71,1493.65,-3.77,178081,0.62,104725,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
577,EMIL,2022-10-17,2024-10-18,5.75,207.92,-0.91,830814,-3.32,695445,Buy,-1,2024-06-10 00:00:00,130,2024-10-15 00:00:00,3
578,EMKAY,2006-04-28,2024-10-18,5.79,272.5,35.56,36098,10.94,11835,Sell,1,2024-10-11 00:00:00,7,2024-10-09 00:00:00,9
579,EMMBI,2010-02-24,2024-10-18,5.75,127.3,-12.06,114651,-6.9,64540,Buy,-1,2024-01-24 00:00:00,268,2024-10-10 00:00:00,8
580,EMSLIMITED,2023-09-21,2024-10-18,6.41,864.9,12.13,361792,8.61,486707,Buy,1,2024-06-07 00:00:00,133,2024-10-15 00:00:00,3
581,EMUDHRA,2022-06-01,2024-10-18,5.61,940.6,7.45,238934,-1.85,223687,Buy,-1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
582,ENDURANCE,2016-10-19,2024-10-18,5.67,2386.15,-2.24,215830,1.34,120176,Sell,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
583,ENERGYDEV,2007-11-02,2024-10-18,5.93,23.28,-6.0,54771,-3.25,46917,Buy,-1,2024-07-05 00:00:00,105,2024-10-15 00:00:00,3
584,ENGINERSIN,1997-09-16,2024-10-18,4.14,187.49,-11.64,4136630,-7.11,3566683,Sell,-1,2024-10-04 00:00:00,14,2024-10-11 00:00:00,7
585,ENIL,2006-02-16,2024-10-18,5.81,200.1,-2.98,85459,-4.48,31851,Buy,-1,2024-09-25 00:00:00,23,2024-10-15 00:00:00,3
586,ENTERO,2024-02-16,2024-10-18,6.08,1387.3,-0.66,68356,6.12,68523,Buy,1,2024-04-10 00:00:00,191,2024-10-17 00:00:00,1
587,EON,2007-01-04,2024-10-18,5.86,6.4,0.0,0,0.0,0,Buy,-1,2024-10-17 00:00:00,1,2020-10-23 00:00:00,1456
588,EPACK,2024-01-30,2024-10-18,5.64,398.6,3.32,1690537,8.5,306477,Buy,1,2024-06-07 00:00:00,133,2024-10-17 00:00:00,1
589,EPIGRAL,2023-08-31,2024-10-18,7.19,2214.15,7.32,179663,-2.26,96520,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
590,EPL,2002-07-01,2024-10-18,5.07,269.8,7.1,2053225,0.35,1886115,Sell,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
591,EQ30,2016-05-25,2021-10-06,5.73,433.71,6.46,752,0.16,225,Sell,-1,2021-05-28 00:00:00,131,2021-10-05 00:00:00,1
592,EQUAL50ADD,2024-06-19,2024-10-18,4.0,328.2,-2.86,21063,-1.8,6158,Sell,1,2024-08-02 00:00:00,77,2024-10-17 00:00:00,1
593,EQUIPPP,2007-04-03,2024-10-18,5.85,21.17,-7.78,22418,-1.5,31024,Buy,-1,2023-10-19 00:00:00,365,2024-10-16 00:00:00,2
594,EQUITAS,2016-04-22,2023-02-01,5.48,119.6,-4.67,1231942,-4.14,907819,Sell,-1,2022-12-22 00:00:00,41,2023-01-30 00:00:00,2
595,EQUITASBNK,2020-11-02,2024-10-18,5.62,70.3,-15.62,3789574,-4.31,4375063,Sell,-1,2024-09-26 00:00:00,22,2024-10-14 00:00:00,4
596,ERIS,2017-06-30,2024-10-18,5.71,1345.3,-3.97,517738,-3.71,53142,Buy,-1,2024-06-05 00:00:00,135,2024-10-16 00:00:00,2
597,EROSMEDIA,2010-10-06,2024-10-18,5.86,19.46,7.1,2915439,-8.55,602283,Buy,-1,2024-09-25 00:00:00,23,2024-10-11 00:00:00,7
598,ESABINDIA,2002-07-01,2024-10-18,5.13,6353.9,4.87,4180,2.83,7271,Buy,-1,2024-05-10 00:00:00,161,2024-10-15 00:00:00,3
599,ESAFSFB,2023-11-10,2024-10-18,6.48,46.92,-6.44,1389736,2.7,732801,Sell,1,2024-09-24 00:00:00,24,2024-10-17 00:00:00,1
600,ESCORTS,1996-01-01,2024-10-18,3.93,3815.4,-1.77,414297,-4.26,174140,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
601,ESG,2023-08-29,2024-10-18,7.14,42.19,-2.43,82181,-1.27,35899,Sell,1,2024-08-02 00:00:00,77,2024-10-17 00:00:00,1
602,ESILVER,2023-11-28,2024-10-18,6.84,93.99,5.39,74048,2.15,68844,Sell,1,2024-07-18 00:00:00,92,2024-10-17 00:00:00,1
603,ESSARSHPNG,2011-11-15,2024-10-18,5.87,38.49,-6.44,136068,-5.12,45833,Buy,1,2024-04-04 00:00:00,197,2024-10-17 00:00:00,1
604,ESSENTIA,2013-08-20,2024-10-18,5.92,3.55,-9.48,5411176,-3.96,3777121,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
605,ESTER,2011-06-20,2024-10-18,5.93,145.93,-13.64,392434,-0.12,202857,Buy,-1,2024-08-14 00:00:00,65,2024-10-16 00:00:00,2
606,ETHOSLTD,2022-05-30,2024-10-18,5.59,3098.7,-8.56,34782,-0.04,17303,Buy,-1,2024-07-09 00:00:00,101,2024-10-16 00:00:00,2
607,EUREKAFORB,2024-09-11,2024-10-18,2.33,596.85,12.16,357210,-1.18,338629,Buy,1,2024-09-26 00:00:00,22,2024-10-17 00:00:00,1
608,EUROCERA,2007-03-09,2024-10-18,5.85,1.05,0.0,0,0.0,0,Sell,-1,2024-10-17 00:00:00,1,2021-04-08 00:00:00,1289
609,EUROMULTI,2009-10-15,2024-10-18,5.81,1.45,0.0,0,0.0,0,Sell,1,2024-10-17 00:00:00,1,2021-08-20 00:00:00,1155
610,EVEREADY,2002-07-01,2024-10-18,5.07,415.65,-9.04,299693,-6.26,129056,Sell,-1,2024-10-04 00:00:00,14,2024-10-10 00:00:00,8
611,EVERESTIND,2002-07-01,2024-10-18,5.11,989.2,-10.71,13365,-1.31,8075,Buy,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
612,EVINDIA,2024-07-16,2024-10-18,4.94,33.69,-1.5,557391,-3.54,436365,Sell,1,2024-10-01 00:00:00,17,2024-10-17 00:00:00,1
613,EXCEL,2009-08-03,2024-10-18,5.81,0.75,0.33,11738904,2.67,11073203,Sell,-1,2024-07-26 00:00:00,84,2024-10-15 00:00:00,3
614,EXCELINDUS,2002-07-01,2024-10-18,5.09,1540.6,-0.89,25896,-6.37,19972,Buy,-1,2024-10-09 00:00:00,9,2024-10-16 00:00:00,2
615,EXICOM,2024-03-05,2024-10-18,6.51,325.9,-1.16,364893,-0.44,346729,Buy,-1,2024-06-19 00:00:00,121,2024-10-16 00:00:00,2
616,EXIDEIND,2002-07-01,2024-10-18,5.07,495.8,3.82,5705371,-5.38,6749964,Buy,-1,2024-09-26 00:00:00,22,2024-10-11 00:00:00,7
617,EXPLEOSOL,2009-10-26,2024-10-18,5.79,1283.75,-3.03,13542,-2.5,21367,Sell,1,2024-02-09 00:00:00,252,2024-10-17 00:00:00,1
618,EXXARO,2021-08-16,2024-10-18,5.62,97.46,16.32,710777,5.22,430478,Buy,1,2024-09-23 00:00:00,25,2024-10-17 00:00:00,1
619,FACT,2002-07-01,2024-10-18,5.13,903.0,-9.53,350445,-1.51,183718,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
620,FAIRCHEMOR,2020-12-24,2024-10-18,5.62,1181.85,-5.45,18620,5.16,12080,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
621,FAZE3Q,2022-11-18,2024-10-18,5.73,434.05,-5.35,28297,-1.33,15289,Buy,-1,2024-07-10 00:00:00,100,2024-10-17 00:00:00,1
622,FCL,2015-01-15,2024-10-18,5.81,396.6,-1.36,704306,-1.78,262592,Buy,1,2024-09-10 00:00:00,38,2024-10-17 00:00:00,1
623,FCONSUMER,2011-11-04,2024-10-18,5.92,0.52,-16.13,2476878,-5.45,1627624,Sell,-1,2024-09-20 00:00:00,28,2024-09-20 00:00:00,28
624,FCSSOFT,2005-09-21,2024-10-18,5.85,3.36,-7.15,6385563,-3.43,2607066,Buy,-1,2024-01-12 00:00:00,280,2024-10-08 00:00:00,10
625,FDC,2002-07-01,2024-10-18,5.11,539.35,-5.47,334246,0.54,207342,Buy,-1,2024-07-02 00:00:00,108,2024-10-15 00:00:00,3
626,FEDERALBNK,1996-01-01,2024-10-18,3.9,195.3,4.59,12095365,3.62,9825021,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
627,FEDFINA,2023-11-30,2024-10-18,5.98,111.15,-8.3,416574,-2.4,305405,Buy,1,2024-09-12 00:00:00,36,2024-10-17 00:00:00,1
628,FEL,2002-07-01,2024-10-18,5.07,0.79,-10.23,189560,-2.47,127186,Buy,-1,2024-10-11 00:00:00,7,2024-10-11 00:00:00,7
629,FELDVR,2006-12-12,2024-10-18,5.89,5.24,-3.26,16006,-0.88,27445,Sell,-1,2024-01-05 00:00:00,287,2024-10-17 00:00:00,1
630,FIBERWEB,2022-02-16,2024-10-18,5.78,42.59,-9.71,49009,-2.11,20382,Buy,-1,2024-06-25 00:00:00,115,2024-10-14 00:00:00,4
631,FIEMIND,2006-10-19,2024-10-18,5.88,1619.4,-4.3,82960,-1.87,78443,Buy,-1,2024-03-21 00:00:00,211,2024-10-16 00:00:00,2
632,FILATEX,2011-08-29,2024-10-18,5.99,56.74,-12.73,1596493,-2.65,955234,Buy,-1,2024-08-22 00:00:00,57,2024-10-15 00:00:00,3
633,FILATFASH,2024-05-06,2024-10-18,4.08,1.06,-3.01,12781992,23.24,7212464,Buy,1,2024-10-11 00:00:00,7,2024-10-07 00:00:00,11
634,FINCABLES,2002-07-01,2024-10-18,5.07,1323.75,-6.95,406564,0.88,181964,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
635,FINEORG,2018-07-02,2024-10-18,5.92,5055.1,-5.81,26245,-0.8,21754,Buy,-1,2024-03-28 00:00:00,204,2024-10-15 00:00:00,3
636,FINIETF,2022-11-30,2024-10-18,9.64,27.06,-2.05,259427,-1.27,127024,Sell,1,2022-12-19 00:00:00,669,2024-10-17 00:00:00,1
637,FINOPB,2021-11-12,2024-10-18,5.53,421.7,8.99,245638,1.31,278734,Buy,-1,2024-09-30 00:00:00,18,2024-10-17 00:00:00,1
638,FINPIPE,2002-07-01,2024-10-18,5.13,326.05,4.95,1861200,7.36,3572251,Buy,1,2024-08-28 00:00:00,51,2024-10-17 00:00:00,1
639,FIRSTCRY,2024-08-13,2024-10-18,3.12,682.4,7.67,821030,1.2,814791,Sell,-1,2024-09-26 00:00:00,22,2024-10-15 00:00:00,3
640,FIVESTAR,2022-11-21,2024-10-18,5.73,889.5,15.56,3540411,9.89,2594111,Buy,-1,2024-04-25 00:00:00,176,2024-10-16 00:00:00,2
641,FLAIR,2023-12-01,2024-10-18,5.98,296.65,-8.03,91525,-1.34,57924,Sell,1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
642,FLEXITUFF,2011-10-19,2024-10-18,5.96,69.0,-20.44,29367,-12.81,18592,Sell,1,2024-09-11 00:00:00,37,2024-10-17 00:00:00,1
643,FLFL,2013-10-01,2024-10-18,5.95,2.33,0.98,188460,-12.91,272240,Sell,-1,2023-09-08 00:00:00,406,2024-10-16 00:00:00,2
644,FLUOROCHEM,2019-10-16,2024-10-18,5.48,4695.65,8.11,239912,0.24,270174,Buy,1,2024-10-08 00:00:00,10,2024-10-14 00:00:00,4
645,FMCGIETF,2021-08-10,2024-10-18,5.72,64.13,-5.37,704856,-1.57,600019,Buy,-1,2024-06-04 00:00:00,136,2024-10-15 00:00:00,3
646,FMGOETZE,2002-07-01,2024-10-18,5.17,420.15,-7.7,80783,0.72,66739,Sell,-1,2024-10-01 00:00:00,17,2024-10-16 00:00:00,2
647,FMNL,2010-12-31,2024-10-18,5.88,14.15,18.36,90235,24.44,253566,Buy,1,2024-10-11 00:00:00,7,2024-10-01 00:00:00,17
648,FOCUS,2017-07-27,2024-10-18,5.78,124.0,18.61,256770,-3.56,103678,Sell,-1,2024-07-30 00:00:00,80,2024-10-17 00:00:00,1
649,FOODSIN,2021-11-16,2024-10-18,5.54,128.85,-7.32,150462,-3.8,78719,Sell,1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
650,FORCEMOT,2019-08-19,2024-10-18,9.08,6909.25,-1.19,48879,-2.27,19463,Buy,-1,2024-09-26 00:00:00,22,2024-10-15 00:00:00,3
651,FORTIS,2007-05-09,2024-10-18,5.81,609.55,1.8,1585169,-0.65,1052269,Sell,1,2024-03-12 00:00:00,220,2024-10-17 00:00:00,1
652,FOSECOIND,2002-07-01,2024-10-18,5.13,4658.4,2.71,1876,0.92,1669,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
653,FRETAIL,2016-08-29,2024-10-18,5.77,2.28,0.0,0,0.0,0,Sell,-1,2024-06-21 00:00:00,119,2024-06-21 00:00:00,119
654,FSC,2017-12-18,2024-10-18,5.87,2.0,-18.72,269994,-7.95,221876,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
655,FSL,2007-02-22,2024-10-18,5.83,331.9,8.92,5909003,5.75,3618343,Buy,-1,2024-08-14 00:00:00,65,2024-10-17 00:00:00,1
656,FUSION,2022-11-15,2024-10-18,5.67,208.27,-31.2,653393,-6.85,207846,Sell,-1,2024-09-20 00:00:00,28,2024-10-11 00:00:00,7
657,GABRIEL,2005-04-20,2024-10-18,5.76,441.85,-15.82,300229,-5.09,461497,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
658,GAEL,2002-07-01,2024-10-18,5.07,136.7,3.25,3392613,-3.89,2538717,Buy,-1,2024-10-08 00:00:00,10,2024-10-16 00:00:00,2
659,GAIL,1997-04-02,2024-10-18,4.11,221.43,0.93,18542721,-3.11,13577939,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
660,GALAPREC,2024-09-09,2024-10-18,2.17,938.1,35.35,143502,13.06,154333,Buy,1,2024-09-26 00:00:00,22,2024-10-17 00:00:00,1
661,GALAXYSURF,2018-02-08,2024-10-18,5.88,2961.35,-9.57,21244,0.1,18168,Buy,-1,2023-10-30 00:00:00,354,2024-10-15 00:00:00,3
662,GALLANTT,2006-04-04,2024-10-18,5.84,361.35,-8.01,28902,-2.33,19344,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
663,GANDHAR,2023-11-30,2024-10-18,5.86,244.56,14.59,817669,3.51,2210410,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
664,GANDHITUBE,2007-01-31,2024-10-18,5.84,756.6,-0.53,13721,-1.57,7570,Sell,-1,2024-10-04 00:00:00,14,2024-10-15 00:00:00,3
665,GANECOS,2015-03-09,2024-10-18,5.77,2314.3,22.85,123710,9.7,184332,Buy,-1,2024-10-09 00:00:00,9,2024-10-17 00:00:00,1
666,GANESHBE,2021-09-16,2024-10-18,5.51,146.79,-5.72,185552,-3.23,116459,Buy,1,2024-07-24 00:00:00,86,2024-10-17 00:00:00,1
667,GANESHHOUC,2007-03-02,2024-10-18,5.84,1020.45,25.55,220948,14.83,403635,Buy,-1,2024-10-08 00:00:00,10,2024-10-16 00:00:00,2
668,GANGAFORGE,2018-07-25,2024-10-18,5.99,7.07,-17.78,710854,-9.43,369505,Buy,-1,2024-03-18 00:00:00,214,2024-10-10 00:00:00,8
669,GANGESSECU,2017-07-31,2024-10-18,5.78,191.74,9.72,28035,15.51,38446,Buy,1,2024-07-31 00:00:00,79,2024-10-16 00:00:00,2
670,GANGOTRI,2006-04-07,2024-10-18,5.82,1.24,-11.43,2967,4.2,1189,Buy,1,2024-10-11 00:00:00,7,2024-10-11 00:00:00,7
671,GARFIBRES,2002-08-12,2024-10-18,5.1,4224.45,11.38,58545,4.61,16163,Buy,1,2024-05-27 00:00:00,144,2024-10-11 00:00:00,7
672,GATECH,2023-07-10,2024-10-18,43.27,0.77,-40.28,34756071,-7.67,10816744,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
673,GATECHDVR,2023-07-07,2024-10-18,9.66,0.98,-18.46,1102606,-4.38,541058,Buy,-1,2024-08-23 00:00:00,56,2024-10-14 00:00:00,4
674,GATEWAY,2022-03-22,2024-10-18,5.66,86.01,-11.88,744722,-2.89,589151,Buy,1,2024-06-28 00:00:00,112,2024-10-17 00:00:00,1
675,GAYAHWS,2018-06-28,2024-10-18,5.92,1.29,-1.89,112952,0.58,47315,Sell,-1,2024-09-25 00:00:00,23,2024-10-16 00:00:00,2
676,GAYAPROJ,2011-08-22,2024-10-18,5.99,10.38,8.69,369749,-3.98,43751,Sell,-1,2024-10-11 00:00:00,7,2024-10-03 00:00:00,15
677,GBGLOBAL,2010-05-19,2024-10-18,5.74,930.0,0.0,0,0.0,0,Sell,-1,2024-10-17 00:00:00,1,2021-05-20 00:00:00,1247
678,GEECEE,2006-10-04,2024-10-18,5.87,410.0,2.84,80126,0.14,14871,Buy,1,2024-09-23 00:00:00,25,2024-10-17 00:00:00,1
679,GEEKAYWIRE,2017-08-24,2024-10-18,5.78,105.45,-5.54,91348,-4.12,70061,Sell,-1,2024-09-04 00:00:00,44,2024-10-17 00:00:00,1
680,GENCON,2021-02-16,2024-10-18,5.63,41.12,-11.05,60364,-5.76,60576,Buy,-1,2024-06-14 00:00:00,126,2024-10-16 00:00:00,2
681,GENESYS,2003-01-23,2024-10-18,5.21,728.6,-6.16,262328,-5.8,135284,Buy,-1,2024-07-10 00:00:00,100,2024-10-14 00:00:00,4
682,GENSOL,2023-07-03,2024-10-18,5.93,825.25,-7.23,175269,-0.31,102474,Sell,-1,2024-08-12 00:00:00,67,2024-10-14 00:00:00,4
683,GENUSPAPER,2015-02-16,2024-10-18,5.8,24.03,-15.25,1687251,-5.27,411816,Sell,-1,2024-10-04 00:00:00,14,2024-10-10 00:00:00,8
684,GENUSPOWER,2005-07-08,2024-10-18,5.83,430.15,0.9,1212928,4.83,720246,Buy,1,2024-10-08 00:00:00,10,2024-10-14 00:00:00,4
685,GEOJITFSL,2005-07-01,2024-10-18,5.81,141.44,-9.76,1601522,4.88,1771023,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
686,GEPIL,2002-07-01,2024-10-18,5.13,389.6,-4.97,109194,-4.88,117655,Sell,-1,2024-07-12 00:00:00,98,2024-10-16 00:00:00,2
687,GESHIP,2002-07-01,2024-10-18,5.07,1268.05,3.6,482759,1.77,435062,Sell,-1,2024-10-17 00:00:00,1,2024-10-16 00:00:00,2
688,GET&D,2002-08-12,2024-10-18,5.1,1824.85,10.24,803040,4.46,551920,Sell,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
689,GFLLIMITED,2002-07-01,2024-10-18,5.08,99.45,14.73,326935,8.27,693283,Sell,1,2024-10-04 00:00:00,14,2024-10-14 00:00:00,4
690,GFSTEELS,1999-01-08,2024-10-18,4.41,8.49,13.2,278,10.12,481,Buy,1,2024-09-27 00:00:00,21,2024-09-27 00:00:00,21
691,GHCL,1996-01-01,2024-10-18,3.93,602.85,-10.76,207989,-5.01,151344,Buy,-1,2024-04-01 00:00:00,200,2024-10-16 00:00:00,2
692,GHCLTEXTIL,2023-06-12,2024-10-18,5.98,92.29,-14.43,240574,-3.64,137465,Buy,-1,2024-07-25 00:00:00,85,2024-10-14 00:00:00,4
693,GICHSGFIN,1999-01-01,2024-10-18,4.36,222.05,-12.87,244555,-1.51,137939,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
694,GICRE,2017-10-25,2024-10-18,5.74,387.65,-1.99,986444,-0.47,608985,Buy,-1,2024-10-08 00:00:00,10,2024-10-14 00:00:00,4
695,GILLANDERS,2009-12-14,2024-10-18,5.82,90.5,6.44,17011,-2.5,9252,Buy,1,2024-10-01 00:00:00,17,2024-10-17 00:00:00,1
696,GILLETTE,2002-07-01,2024-10-18,5.13,8778.3,-1.74,58767,-1.7,14958,Buy,-1,2024-08-23 00:00:00,56,2024-10-16 00:00:00,2
697,GILT5YBEES,2021-04-07,2024-10-18,6.34,58.08,0.47,366741,-0.27,300639,Sell,-1,2024-02-26 00:00:00,235,2024-10-16 00:00:00,2
698,GINNIFILA,2002-07-01,2024-10-18,5.11,32.17,1.46,120260,3.81,160043,Buy,1,2024-04-30 00:00:00,171,2024-10-16 00:00:00,2
699,GIPCL,2002-07-01,2024-10-18,5.13,223.35,-1.12,479029,-4.62,255973,Buy,-1,2024-10-08 00:00:00,10,2024-10-16 00:00:00,2
700,GIRRESORTS,2015-07-06,2024-10-18,5.81,113.65,0.0,0,0.0,0,Sell,-1,2023-08-10 00:00:00,435,2018-12-21 00:00:00,2128
701,GITANJALI,2006-03-10,2024-10-18,5.87,1.05,0.0,0,0.0,0,Buy,1,2024-10-17 00:00:00,1,2019-03-28 00:00:00,2031
702,GKWLIMITED,2002-07-01,2024-10-18,5.08,3142.2,7.35,2796,4.41,1659,Sell,-1,2024-09-17 00:00:00,31,2024-10-16 00:00:00,2
703,GLAND,2020-11-20,2024-10-18,5.6,1650.1,-11.48,313274,-3.89,241959,Buy,1,2023-07-19 00:00:00,457,2024-10-17 00:00:00,1
704,GLAXO,2002-07-01,2024-10-18,5.13,2659.3,-5.18,73486,-4.51,98399,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
705,GLENMARK,2002-07-01,2024-10-18,5.07,1738.45,3.34,1250963,-2.68,536206,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
706,GLFL,2002-07-01,2024-10-18,5.13,8.56,19.09,8889,19.25,16951,Buy,-1,2024-10-07 00:00:00,11,2024-10-17 00:00:00,1
707,GLOBAL,2017-03-15,2024-10-18,5.7,195.34,1.37,46794,11.24,126686,Sell,-1,2024-10-17 00:00:00,1,2024-10-16 00:00:00,2
708,GLOBALE,2024-08-27,2024-10-18,1.85,33.3,-6.61,4525,-4.34,3208,Buy,-1,2024-09-18 00:00:00,30,2024-10-14 00:00:00,4
709,GLOBALVECT,2006-10-27,2024-10-18,5.84,296.0,1.91,16752,1.73,6620,Sell,1,2024-10-11 00:00:00,7,2024-10-15 00:00:00,3
710,GLOBE,2018-07-13,2024-10-18,5.96,5.0,-8.23,1404314,-1.09,441259,Sell,1,2024-09-13 00:00:00,35,2024-10-17 00:00:00,1
711,GLOBUSSPR,2009-09-23,2024-10-18,5.84,1089.15,-17.74,227024,-3.3,103386,Buy,1,2024-06-10 00:00:00,130,2024-10-17 00:00:00,1
712,GLOSTERLTD,2024-04-26,2024-10-18,4.41,721.45,-6.12,1923,-0.86,1140,Buy,-1,2024-08-27 00:00:00,52,2024-10-14 00:00:00,4
713,GLS,2021-08-06,2024-10-18,5.57,1130.0,-12.92,249917,-4.8,116537,Sell,1,2024-09-18 00:00:00,30,2024-10-17 00:00:00,1
714,GMBREW,2002-07-01,2024-10-18,5.11,820.95,-15.36,203407,-0.02,83306,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
715,GMDCLTD,2002-07-01,2024-10-18,5.07,358.3,-5.34,1080663,5.87,1412934,Sell,1,2024-10-03 00:00:00,15,2024-10-14 00:00:00,4
716,GMMPFAUDLR,2018-03-05,2024-10-18,5.81,1449.95,0.27,110251,3.56,109315,Sell,-1,2024-08-02 00:00:00,77,2024-10-17 00:00:00,1
717,GMRINFRA,2006-08-21,2024-10-18,5.85,85.76,-9.78,26679603,-3.28,9140147,Sell,-1,2024-05-06 00:00:00,165,2024-10-15 00:00:00,3
718,GMRP&UI,2022-03-23,2024-10-18,5.67,134.55,-5.5,3923091,-2.57,2190874,Buy,1,2024-09-23 00:00:00,25,2024-10-17 00:00:00,1
719,GNA,2016-09-26,2024-10-18,5.72,422.2,-0.39,160143,0.23,70269,Buy,-1,2024-07-02 00:00:00,108,2024-10-16 00:00:00,2
720,GNFC,2002-07-01,2024-10-18,5.13,641.6,-2.5,890464,-1.73,269095,Sell,1,2024-08-02 00:00:00,77,2024-10-17 00:00:00,1
